,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,6136,富爾特             ,2021,6.01,-7.88,11.60,53.00,19.65,17.80,5.01,4.81,26.13,2021,1.25,6.66,1.23,102.00
1,6136,富爾特             ,2020,6.53,-23.40,11.60,53.00,17.55,18.10,2.14,2.04,22.77,2020,1.10,6.20,0.48,229.00
2,6136,富爾特             ,2019,8.53,33.60,11.60,53.00,20.00,20.10,3.05,2.92,22.45,2019,1.40,7.75,0.68,206.00
3,6136,富爾特             ,2018,6.38,-9.60,11.60,55.00,18.00,21.70,3.16,3.03,22.60,2018,1.50,7.47,0.75,200.00
4,6136,富爾特             ,2017,7.06,-5.34,11.60,66.00,23.90,24.30,6.65,6.40,25.52,2017,1.80,8.29,1.72,105.00
5,6136,富爾特             ,2016,7.46,-2.81,11.60,66.00,23.85,23.50,7.98,7.67,26.21,2016,2.00,8.22,2.02,99.00
6,6136,富爾特             ,2015,7.68,7.88,11.60,72.00,23.30,25.10,7.60,7.31,24.42,2015,2.10,8.92,1.98,106.00
7,6136,富爾特             ,2014,7.11,-9.54,11.60,72.00,25.95,26.30,7.28,7.00,27.78,2014,2.31,9.19,2.01,115.00
8,6136,富爾特             ,2013,7.87,-10.90,11.60,70.00,24.90,25.30,6.97,6.69,27.31,2013,2.30,8.75,2.01,114.00
9,6136,富爾特             ,2012,8.43,-14.60,11.60,70.00,24.70,26.80,7.40,7.10,30.35,2012,2.50,9.90,2.23,112.00
10,6136,富爾特             ,2011,9.87,6.37,11.60,64.00,26.60,33.40,5.58,5.38,30.20,2011,3.00,11.20,2.00,150.00
11,6136,富爾特             ,2010,9.28,-28.60,10.50,72.00,35.00,34.60,8.74,8.48,45.60,2010,4.40,13.20,3.79,116.00
12,6136,富爾特             ,2009,13.00,-24.00,9.55,66.00,34.20,22.20,7.93,7.61,44.91,2009,3.35,9.69,2.60,129.00
13,6136,富爾特             ,2008,17.10,-6.77,9.09,68.00,12.20,20.80,8.37,8.03,21.53,2008,2.80,12.60,2.10,133.00
14,6136,富爾特             ,2007,18.34,-9.51,11.00,57.00,23.50,23.40,12.20,11.60,32.87,2007,2.72,13.10,3.22,84.50
15,6136,富爾特             ,2006,20.27,18.10,10.70,64.00,19.50,16.10,8.38,6.84,20.91,2006,2.40,10.20,1.53,157.00
16,6136,富爾特             ,2005,17.16,-81.90,11.00,47.00,17.00,21.90,7.80,3.70,15.50,2005,0.00,0.00,1.34,0.00
17,6136,富爾特             ,2004,95.08,15.80,10.10,43.00,25.20,55.40,18.30,7.70,20.60,2004,2.70,12.30,3.60,75.00
18,6136,富爾特             ,2003,82.11,57.70,6.82,43.00,80.50,72.90,28.10,16.00,25.88,2003,5.55,10.00,6.63,83.70
19,6136,富爾特             ,2002,52.05,82.80,5.42,53.00,75.50,103.00,30.10,19.80,26.57,2002,4.70,6.45,6.44,73.00
20,6136,富爾特             ,2001,28.48,96.70,3.40,47.00,-1,-1,18.00,11.20,21.26,2001,3.80,3.70,3.50,109.00
21,6136,富爾特             ,2000,14.48,107.40,2.50,47.00,-1,-1,11.40,7.34,24.14,2000,3.20,-1,3.12,103.00
22,6136,富爾特             ,1999,6.98,-1,1.12,-1,-1,-1,-1,-1,15.72,1999,0.54,-1,2.44,22.30
