,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,6263,普萊德             ,2021,14.27,16.30,6.25,77.00,68.60,65.40,23.50,18.70,22.48,2021,4.70,6.40,5.14,91.40
1,6263,普萊德             ,2020,12.27,-8.97,6.25,82.00,62.40,63.10,20.20,16.30,21.34,2020,4.00,6.11,4.33,92.40
2,6263,普萊德             ,2019,13.48,-1.42,6.25,82.00,65.00,63.60,23.60,19.30,21.52,2019,4.50,7.13,5.01,89.80
3,6263,普萊德             ,2018,13.68,0.47,6.25,80.00,56.70,59.80,23.40,19.30,20.82,2018,4.30,6.76,4.82,89.20
4,6263,普萊德             ,2017,13.61,6.37,6.25,80.00,61.60,54.70,24.80,20.20,20.30,2017,4.30,7.19,4.90,87.80
5,6263,普萊德             ,2016,12.80,1.11,6.25,81.00,47.85,46.20,23.10,19.00,19.30,2016,3.90,7.13,4.38,89.00
6,6263,普萊德             ,2015,12.65,-1.20,6.25,81.00,44.25,47.60,23.40,19.30,18.73,2015,3.80,8.22,4.26,89.20
7,6263,普萊德             ,2014,12.81,19.80,6.13,77.00,42.85,45.70,23.00,18.70,18.08,2014,3.50,7.35,4.00,87.50
8,6263,普萊德             ,2013,10.69,6.82,5.97,72.00,38.10,31.60,19.50,16.20,16.96,2013,2.80,6.13,3.20,87.50
9,6263,普萊德             ,2012,10.01,16.50,5.82,70.00,26.20,24.00,17.00,14.40,16.11,2012,2.30,7.27,2.62,87.70
10,6263,普萊德             ,2011,8.59,-0.52,5.82,66.00,17.65,23.20,10.10,8.77,14.90,2011,1.40,5.84,1.51,92.70
11,6263,普萊德             ,2010,8.64,4.21,5.82,66.00,30.15,32.20,11.60,10.10,14.89,2010,1.50,6.46,1.72,87.20
12,6263,普萊德             ,2009,8.29,-20.70,5.65,72.00,36.60,27.70,15.10,13.00,15.25,2009,2.00,6.21,2.27,88.10
13,6263,普萊德             ,2008,10.45,-11.80,5.51,74.00,19.35,32.80,17.90,15.40,15.28,2008,2.30,8.31,2.74,83.90
14,6263,普萊德             ,2007,11.85,3.24,5.17,72.00,43.90,61.60,25.40,21.30,16.41,2007,3.30,10.00,4.01,82.30
15,6263,普萊德             ,2006,11.48,-2.72,4.72,72.00,54.50,44.80,27.40,22.30,16.54,2006,3.60,5.85,4.31,83.50
16,6263,普萊德             ,2005,11.80,6.14,4.11,79.00,48.00,57.80,31.20,25.30,17.12,2005,4.20,9.37,5.35,78.50
17,6263,普萊德             ,2004,11.12,11.00,3.42,-1,68.50,75.30,-1,-1,17.01,2004,4.50,7.79,5.34,84.30
18,6263,普萊德             ,2003,10.01,15.30,2.80,-1,82.50,79.20,-1,-1,17.25,2003,4.80,6.38,6.01,79.90
19,6263,普萊德             ,2002,8.69,15.40,2.17,-1,-1,-1,-1,-1,16.69,2002,4.70,5.94,6.11,76.90
20,6263,普萊德             ,2001,7.53,-1,1.43,-1,-1,-1,-1,-1,16.15,2001,4.80,-1,5.74,83.60
