日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,騰落指標,漲跌家數,未平倉量
2012/1/5,33.65,33.8,33.45,33.55,0,0,,,,,,423,,8908,,,13,,,7232,,,748,,,7,,,7987,,,-8986,-8986,0
2012/1/6,33.45,33.9,33.15,33.2,-0.35,-1.0432,,,,,,598,,8837,,,12,,,7206,,,748,,,0,,,7954,,,-9139,-153,0
2012/1/9,33.4,33.6,32.95,32.95,-0.25,-0.753,,,,,,540,,8977,,,13,,,7209,,,748,,,0,,,7957,,,-9448,-309,0
2012/1/10,33,33.2,32.65,32.8,-0.15,-0.4552,,,,,,1040,,9063,,,12,,,7103,,,748,,,0,,,7851,,,-9032,416,0
2012/1/11,33,33.3,32.9,33.15,0.35,1.0671,33.13,,,,,663,652,8983,8953.6,,12,12.4,,7146,7179,,747,748,,0,1,,7893,7929,,-9013,19,0
2012/1/12,33.2,33.2,32.2,32.6,-0.55,-1.6591,32.94,,,,,764,721,8963,8964.6,,11,12,,7160,7165,,747,748,,11,2,,7918,7915,,-9379,-366,0
2012/1/13,32.8,32.9,32.25,32.3,-0.3,-0.9202,32.76,,,,,781,757,8833,8963.8,,12,12,,7164,7157,,746,748,,0,2,,7910,7906,,-9776,-397,0
2012/1/16,33.1,33.1,32.2,32.55,0.25,0.774,32.68,,,,,578,765,8855,8939.4,,12,11.8,,7115,7138,,745,747,,5,3,,7865,7888,,-9717,59,0
2012/1/17,32.8,34.8,32.8,34.8,2.25,6.9124,33.08,,,,,2650,1087,8457,8818.2,,27,14.8,,7205,7158,,1078,813,,3,4,,8286,7975,,-8963,754,0
2012/1/18,35.1,35.9,34.65,35.2,0.4,1.1494,33.49,33.31,,,,2805,1515,8005,8622.6,8788.1,42,20.8,16.6,7110,7151,7165,1078,879,814,0,4,3,8188,8034,7982,-8861,102,0
