日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,騰落指標,漲跌家數,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,未平倉量
2011/12/2,34.2,34.95,34.1,34.1,0,0,,,,,,2446,,25163,,,540,,,-7968,-7968,16112,,,6407,,,145,,,22666,,,0
2011/12/5,34.1,34.1,32.8,33.15,-0.95,-2.7859,,,,,,1380,,25210,,,466,,,-8227,-259,16080,,,6407,,,133,,,22622,,,0
2011/12/6,33.3,33.35,32.3,32.35,-0.8,-2.4133,,,,,,1028,,24891,,,449,,,-8889,-662,16069,,,6407,,,124,,,22602,,,0
2011/12/7,32.5,32.95,30.1,30.25,-2.1,-6.4915,,,,,,3553,,24644,,,440,,,-8700,189,16025,,,6147,,,101,,,22275,,,0
2011/12/8,29,30.25,29,29,-1.25,-4.1322,31.77,,,,,2373,2156,24034,24788.4,,299,438.8,,-9162,-462,16046,16067,,5866,6247,,99,121,,22013,22436,,0
2011/12/9,28,29.75,27.3,29.3,0.3,1.0345,30.81,,,,,1815,2029,23395,24434.8,,323,395.4,,-9527,-365,15975,16040,,5816,6129,,112,115,,21905,22284,,0
2011/12/12,29.9,30.3,29.5,29.5,0.2,0.6826,30.08,,,,,1257,2005,23280,24048.8,,383,378.8,,-9383,144,16384,16101,,5816,6011,,118,112,,22320,22223,,0
2011/12/13,29,30.6,29,30.25,0.75,2.5424,29.66,,,,,1231,2045,23150,23700.6,,368,362.6,,-9770,-387,16618,16210,,5816,5893,,128,112,,22564,22215,,0
2011/12/14,30.3,30.95,30,30.95,0.7,2.314,29.8,,,,,1686,1672,23350,23441.8,,347,344,,-9421,349,16259,16257,,5861,5836,,143,121,,22265,22213,,0
2011/12/15,30.2,30.5,30.05,30.25,-0.7,-2.2617,30.05,30.91,,,,596,1317,23318,23298.6,24043.5,332,350.6,394.7,-10049,-628,16233,16294,16181,5854,5833,6040,140,129,125,22229,22257,22346,0
2011/12/16,30.5,30.8,30.3,30.5,0.25,0.8264,30.29,30.55,,,,1328,1219,23225,23264.6,23849.7,352,356.4,375.9,-10086,-37,16386,16377,16208,5854,5841,5985,140,135,125,22382,22352,22318,0
2011/12/19,29.9,30.4,28.4,28.6,-1.9,-6.2295,30.11,30.095,,,,1384,1245,22913,23191.2,23620,307,341.2,360,-10919,-833,16313,16362,16231,5573,5792,5902,95,130,121,21983,22285,22254,0
2011/12/20,28.5,29.2,28.45,28.5,-0.1,-0.3497,29.76,29.71,,,,1337,1266,22847,23130.6,23415.6,354,338.4,350.5,-10724,195,16434,16326,16268,5195,5668,5780,93,123,118,21724,22117,22166,0
2011/12/21,30.25,30.45,29.8,30.45,1.95,6.8421,29.66,29.73,,,,1449,1218,22730,23006.6,23224.2,322,333.4,338.7,-9697,1027,16564,16387,16322,5195,5535,5685,104,115,118,21865,22037,22125,0
2011/12/22,30.45,31.1,30,30.45,0,0,29.7,29.875,,,,1334,1366,22809,22904.8,23101.7,330,333,341.8,-9941,-244,16509,16442,16368,5195,5403,5618,108,109,119,21813,21954,22105,0
2011/12/23,31.5,32.55,31.1,32.55,2.1,6.8966,30.11,30.2,,,,2165,1533,23436,22947,23105.8,338,330.2,343.3,-9138,803,16597,16484,16430,5195,5271,5556,128,106,121,21921,21862,22107,0
2011/12/26,34.5,34.8,33.65,34.1,1.55,4.7619,31.21,30.66,,,,5716,2400,23168,22998,23094.6,349,338.6,339.9,-9267,-129,16519,16525,16444,5195,5196,5494,281,144,137,21996,21864,22074,0
2011/12/27,33.9,34.1,32.8,33.95,-0.15,-0.4399,32.3,31.03,,,,2386,2610,23167,23062,23096.3,281,324,331.2,-9463,-196,16476,16533,16430,5195,5196,5432,300,185,154,21972,21914,22015,0
2011/12/28,33.9,33.9,32.8,32.8,-1.15,-3.3873,32.77,31.215,,,,1307,2581,23225,23161,23083.8,215,302.6,318,-9518,-55,16550,16531,16459,4895,5136,5335,327,230,172,21773,21896,21966,0
2011/12/29,32.55,33.35,32,33,0.2,0.6098,33.28,31.49,31.2,,,1120,2538,23297,23258.6,23081.7,217,280,306.5,-9460,58,16607,16550,16496,4716,5040,5221,332,274,192,21656,21864,21909,0
2011/12/30,33.3,33.95,33,33,0,0,33.37,31.74,31.145,,,1393,2384,23166,23204.6,23075.8,226,257.6,293.9,-9509,-49,16543,16539,16512,4566,4914,5093,334,316,211,21444,21769,21815,0
2012/1/2,33.35,33.35,32.2,32.7,-0.3,-0.9091,33.09,32.15,31.1225,,,651,1371,23308,23232.6,23115.3,226,233,285.8,-10067,-558,16528,16541,16533,4538,4782,4989,322,324,234,21389,21647,21756,0
2012/1/3,32.95,34.95,32.85,34.95,2.25,6.8807,33.29,32.795,31.2525,,,3849,1664,23991,23397.4,23229.7,310,238.8,281.4,-9497,570,16536,16553,16543,4537,4651,4923,229,310,247,21302,21513,21714,0
2012/1/4,35.1,36.5,35.1,35.9,0.95,2.7182,33.91,33.34,31.535,,,9181,3238,22487,23249.8,23205.4,548,305.4,304,-9291,206,16813,16606,16568,6067,4885,5010,328,310,270,23208,21800,21848,0
2012/1/5,36.5,37.4,36.35,37,1.1,3.0641,34.71,33.995,31.935,,,5848,4184,22032,22996.8,23127.7,658,393.6,336.8,-8986,305,17552,16795,16672,6337,5209,5124,271,297,286,24160,22301,22083,0
2012/1/6,37.4,37.7,36.7,37,0,0,35.51,34.44,32.32,,,4997,4905,21498,22663.2,22933.9,637,475.8,366.7,-9139,-153,18299,17146,16843,6937,5683,5299,215,273,294,25451,23103,22436,0
2012/1/9,37.1,37.5,36.85,36.9,-0.1,-0.2703,36.35,34.72,32.69,,,2228,5220,21542,22310,22771.3,644,559.4,396.2,-9448,-309,18325,17505,17023,7057,6187,5485,97,228,276,25479,23921,22784,0
2012/1/10,37.2,38.9,37.2,38.5,1.6,4.336,37.06,35.175,33.1025,,,6159,5682,21422,21796.2,22596.8,776,652.6,445.7,-9032,416,18383,17875,17214,8067,6893,5772,89,200,255,26539,24968,23241,0
2012/1/11,38.8,39.15,38.4,38.4,-0.1,-0.2597,37.56,35.735,33.475,,,3218,4490,21318,21562.4,22406.1,777,698.4,501.9,-9013,19,18353,18183,17394,8562,7392,6139,88,152,231,27003,25727,23764,0
2012/1/12,38.4,38.6,37.6,37.7,-0.7,-1.8229,37.7,36.205,33.8475,,,2514,3823,21118,21379.6,22188.2,604,687.6,540.6,-9379,-366,18320,18336,17566,8661,7857,6533,84,115,206,27065,26308,24305,0
2012/1/13,37.9,38.2,37.1,37.2,-0.5,-1.3263,37.74,36.625,34.1825,,,3304,3484,20848,21249.6,21956.4,631,686.4,581.1,-9776,-397,18412,18359,17752,8710,8212,6947,332,138,206,27454,26709,24906,0
2012/1/16,38,39,37.1,39,1.8,4.8387,38.16,37.255,34.7025,,,4723,3983,20711,21083.4,21696.7,834,724.4,641.9,-9717,59,18453,18385,17945,8750,8550,7369,333,185,207,27536,27120,25520,0
2012/1/17,39.1,40.2,38.75,39.85,0.85,2.1795,38.43,37.745,35.27,,,5908,3933,20351,20869.2,21332.7,837,736.6,694.6,-8963,754,18399,18388,18131,9118,8760,7827,502,268,234,28019,27416,26192,0
2012/1/18,39.8,41.25,39.75,40.35,0.5,1.2547,38.82,38.19,35.765,,,6256,4541,20035,20612.6,21087.5,819,745,721.7,-8861,102,18489,18415,18299,10120,9072,8232,749,400,276,29358,27887,26807,0
2012/1/30,43,43.15,41.7,43.15,2.8,6.9393,39.91,38.805,36.4,,,7214,5481,19889,20366.8,20873.2,1139,852,769.8,-8015,846,18594,18470,18403,10921,9524,8690,1002,584,349,30517,28577,27443,0
2012/1/31,43.15,43.6,42.6,42.6,-0.55,-1.2746,40.99,39.365,36.9025,,,3922,5604,20332,20263.6,20756.6,975,920.8,803.6,-7379,636,19155,18618,18489,11241,10030,9121,653,648,393,31049,29296,28003,0
2012/2/1,43.6,44.7,43.2,44.1,1.5,3.5211,42.01,40.085,37.4025,,,5091,5678,20133,20148,20615.7,1067,967.4,845.9,-6702,677,18879,18704,18544,12821,10844,9697,448,671,428,32148,30219,28669,0
2012/2/2,44.7,46.3,44.7,46.3,2.2,4.9887,43.3,40.865,38.02,,,5537,5604,20433,20164.4,20516.8,1129,1025.8,881.2,-6077,625,18619,18748,18568,13367,11694,10227,540,679,473,32526,31120,29268,0
2012/2/3,46.5,46.7,45,46.1,-0.2,-0.432,44.45,41.635,38.685,,,2946,4942,20279,20213.2,20412.9,1042,1070.4,907.7,-5887,190,18549,18760,18587,13417,12354,10713,653,659,530,32619,31772,29830,0
2012/2/4,46.65,48.5,46.6,47.45,1.35,2.9284,45.31,42.61,39.4075,,,5130,4525,19886,20212.6,20289.7,1056,1053.8,952.9,-5465,422,18530,18747,18608,14021,12974,11249,706,600,592,33257,32320,30449,0
2012/2/6,48.15,48.3,45.6,46.3,-1.15,-2.4236,46.05,43.52,40.0725,,,5289,4798,20498,20245.8,20254.7,898,1038.4,979.6,-5853,-388,18413,18598,18608,14001,13526,11778,733,616,632,33147,32740,31018,0
2012/2/7,47,47.3,45.5,46,-0.3,-0.6479,46.43,44.22,40.7375,,,4060,4592,20729,20365,20256.5,829,990.8,979.1,-5916,-63,18503,18523,18613,13562,13674,12259,478,622,647,32543,32819,31519,0
2012/2/8,46.8,47.6,46.4,46.95,0.95,2.0652,46.56,44.93,41.3375,,,4864,4457,20795,20437.4,20300.9,825,930,977.9,-5130,786,18678,18535,18641,13873,13775,12735,439,602,640,32990,32912,32016,0
2012/2/9,47,48.75,47,48,1.05,2.2364,46.94,45.695,41.9425,,,7077,5284,21443,20670.2,20441.7,913,904.2,987.3,-4770,360,19597,18745,18752,13719,13835,13094,420,555,607,33736,33135,32454,0
2012/2/10,48.6,50.2,47.6,47.7,-0.3,-0.625,46.99,46.15,42.4775,,,12121,6682,21743,21041.6,20627.1,852,863.4,958.6,-4713,57,20158,19070,18908,13869,13805,13389,531,520,560,34558,33395,32858,0
2012/2/13,47.9,49,47.1,48.7,1,2.0964,47.47,46.76,43.0625,,,9351,7494,22769,21495.8,20870.8,912,866.2,952.3,-4279,434,21302,19648,19123,13495,13704,13615,502,474,545,35299,33826,33283,0
2012/2/14,49,49.6,47.8,48.6,-0.1,-0.2053,47.99,47.21,43.6475,,,5935,7869,22694,21888.8,21126.9,886,877.6,934.2,-4543,-264,20587,20065,19294,13512,13694,13684,572,493,558,34671,34251,33535,0
2012/2/15,48.6,49.45,48.4,49.3,0.7,1.4403,48.46,47.51,44.1875,,,6453,8187,23174,22364.6,21401,856,883.8,906.9,-3889,654,20010,20331,19433,13478,13615,13695,705,546,574,34193,34492,33702,0
2012/2/16,49.3,50.5,46,46.2,-3.1,-6.288,48.1,47.52,44.5775,,,7967,8365,23408,22757.6,21713.9,729,847,875.6,-4501,-612,19337,20279,19512,13555,13582,13709,598,582,569,33490,34443,33789,0
2012/2/17,47.7,48,46.2,46.75,0.55,1.1905,47.91,47.45,45.03,,,5254,6992,22993,23007.6,22024.6,798,836.2,849.8,-4478,23,19733,20194,19632,13539,13516,13660,454,566,543,33726,34276,33836,0
2012/2/20,47.5,47.55,46.55,47.5,0.75,1.6043,47.67,47.57,45.545,,,1993,5520,22815,23016.8,22256.3,776,809,837.6,-3983,495,19981,19930,19789,13639,13545,13624,466,559,517,34086,34034,33930,0
2012/2/21,48.2,50.1,47.8,50,2.5,5.2632,47.95,47.97,46.095,,,10110,6355,23483,23174.6,22531.7,895,810.8,844.2,-4187,-204,20163,19845,19955,14030,13648,13671,662,577,535,34855,34071,34161,0
