Date,Open,High,Low,Close,Adj Close,Volume
2020/11/2,254.100006,260.825012,247,252.229996,252.229996,1301000
2020/11/3,256,264.540009,254.050003,262.130005,262.130005,1376400
2020/11/4,270.790009,274.869995,262.200012,263.910004,263.910004,1394700
2020/11/5,271.480011,271.690002,258.899994,263.209991,263.209991,1272500
2020/11/6,263.440002,270,259.200012,265,265,986800
2020/11/9,263.98999,265.950012,239,239.839996,239.839996,2965900
2020/11/10,249.649994,249.940002,229.979996,235.679993,235.679993,2266800
2020/11/11,241.710007,246.889999,237.5,240.759995,240.759995,1442400
2020/11/12,243.800003,244.203003,232.160004,235.380005,235.380005,1741200
2020/11/13,237.110001,241.625,232.300003,234.800003,234.800003,1487700
2020/11/16,234,244.179993,230.25,241.850006,241.850006,1799500
2020/11/17,245,251.559998,243.729996,248.029999,248.029999,1629600
2020/11/18,253,262.269989,250.735001,260.540009,260.540009,2202300
2020/11/19,259.209991,268.570007,253.25,264,264,1592100
2020/11/20,269,273.165009,264,266,266,1592000
2020/11/23,267.100006,274.149994,259.100006,274.149994,274.149994,1347600
2020/11/24,275.100006,283.390015,267.48999,282.100006,282.100006,1730600
2020/11/25,277.779999,309.769989,277.299988,303.019989,303.019989,2912100
2020/11/27,310,334.619995,309.730011,328.790009,328.790009,3293800
2020/11/30,338.380005,342,312.130005,325.839996,325.839996,3550400
2020/12/1,321.630005,326,302.279999,305.640015,305.640015,2651800
2020/12/2,293.790009,306.73999,288,292.690002,292.690002,3575300
2020/12/3,290.540009,343,289,339.890015,339.890015,11102600
2020/12/4,335.399994,395.799988,334,387.700012,387.700012,18611700
2020/12/7,393.5,404.429993,371,388.959991,388.959991,8134900
2020/12/8,388.799988,429,386.25,390,390,11511700
2020/12/9,393.399994,406.98999,361.011993,371.26001,371.26001,8980200
2020/12/10,362,390.070007,360.609985,373.279999,373.279999,4906300
2020/12/11,360.399994,369.100006,347.26001,353.959991,353.959991,6362600
2020/12/14,352.48999,357.980011,327.160004,329.149994,329.149994,6977100
2020/12/15,308.980011,329,303.540009,328.609985,328.609985,20379200
2020/12/16,328.429993,338.890015,320.089996,329.970001,329.970001,6427700
2020/12/17,333.820007,337.100006,323.493011,325.540009,325.540009,3717100
2020/12/18,332.769989,346.880005,324.880005,334.25,334.25,8116000
2020/12/21,329,350,329,349.850006,349.850006,5879500
2020/12/22,349.890015,359.549988,338.01001,341.160004,341.160004,4685200
2020/12/23,341.160004,343.399994,328.26001,331.649994,331.649994,2745800
2020/12/24,334.100006,338,321.299988,323.040009,323.040009,2191200
2020/12/28,324.869995,327.790009,302.670013,302.809998,302.809998,4756600
2020/12/29,305.25,314.410004,298.130005,304.049988,304.049988,4827400
2020/12/30,304,307.350006,297.75,300.920013,300.920013,2631200
2020/12/31,299.700012,301.561005,280.730011,281.399994,281.399994,5313800
2021/1/4,285.410004,290.799988,274.440002,278.23999,278.23999,3948500
2021/1/5,280.619995,293.48999,279.299988,283.829987,283.829987,5202600
2021/1/6,279.98999,283.639008,266.410004,268.019989,268.019989,5736800
2021/1/7,272.589996,304.899994,267.700012,304.200012,304.200012,16546600
2021/1/8,315,325.720001,298,300.100006,300.100006,9106800
2021/1/11,295,312.170013,287.98999,293.190002,293.190002,4524700
2021/1/12,298,299.660004,286.205994,293.350006,293.350006,3252600
2021/1/13,295,306.859985,294.149994,296.549988,296.549988,2867900
2021/1/14,305,313.480011,300.01001,303.76001,303.76001,4585800
2021/1/15,306.820007,308.670013,290.649994,291.299988,291.299988,3209900
2021/1/19,293.75,295,284.040009,286.209991,286.209991,3143600
2021/1/20,289,289.100006,280.880005,281.880005,281.880005,2259900
2021/1/21,288,289.579987,282.600006,286.320007,286.320007,1894000
2021/1/22,284.290009,287.480011,279,285.679993,285.679993,2053600
2021/1/25,292.450012,296.809998,276,287.25,287.25,3750900
2021/1/26,286.640015,289.23999,280.980011,280.980011,280.980011,1951500
2021/1/27,277,285.75,264,266.200012,266.200012,4387700
2021/1/28,277.019989,283,268.423004,273.130005,273.130005,2435200
2021/1/29,271,277.778015,267.5,272.450012,272.450012,2177000
2021/2/1,275.100006,283.200012,273.380005,282,282,2226900
2021/2/2,289.709991,310.660004,286.5,300.709991,300.709991,7223900
2021/2/3,309.040009,318.880005,300.540009,304.640015,304.640015,4629200
2021/2/4,309.799988,310.880005,299.029999,303.609985,303.609985,2188900
2021/2/5,306.070007,307.070007,299.640015,306.049988,306.049988,1757800
2021/2/8,308.709991,317.894989,302.029999,304.5,304.5,2386300
2021/2/9,304.5,323.230011,302.274994,314.290009,314.290009,4355400
2021/2/10,324.799988,327.410004,300,305.910004,305.910004,3425300
2021/2/11,305.25,312.299988,296.380005,298.730011,298.730011,2344600
2021/2/12,299,303.345001,292.339996,299.470001,299.470001,1518600
2021/2/16,304.700012,304.988007,290.160004,294.549988,294.549988,1986300
2021/2/17,289,292.820007,283.265015,288.779999,288.779999,1710300
2021/2/18,285,296.950012,281.304993,289.779999,289.779999,2258000
2021/2/19,292.48999,298,287.589996,290,290,2305400
2021/2/22,287.459991,287.769989,268,269.649994,269.649994,3820100
2021/2/23,260.399994,271,242.979996,269.079987,269.079987,4018300
2021/2/24,268.880005,275.25,262.359985,273.519989,273.519989,2104300
2021/2/25,270.179993,275.48999,255.25,260.339996,260.339996,2900300
2021/2/26,264.220001,266.660004,254.309998,259.540009,259.540009,2593100
2021/3/1,269.299988,273.709991,263.290009,272.170013,272.170013,2762300
2021/3/2,270,280.100006,270,270.600006,270.600006,2833400
2021/3/3,270,271.399994,246.360001,247.029999,247.029999,6234500
2021/3/4,255.820007,279.450012,236,249,249,15923100
2021/3/5,250.639999,250.729996,217.820007,239.729996,239.729996,20149100
2021/3/8,235,241.160004,212.289993,213.990005,213.990005,8311400
2021/3/9,221.839996,235.470001,219.160004,230.020004,230.020004,6302400
2021/3/10,229.320007,235.350006,221.429993,227.110001,227.110001,7872900
2021/3/11,235,241.548004,233.199997,237.809998,237.809998,5731100
2021/3/12,233.830002,235.649994,227.75,230,230,3741700
2021/3/15,230.979996,241.600006,230.75,238.759995,238.759995,6417500
2021/3/16,239,242.5,229.009995,232.139999,232.139999,5564000
2021/3/17,223,233.330002,223,230.300003,230.300003,3934600
2021/3/18,227.630005,227.710007,216.100006,216.699997,216.699997,3958700
2021/3/19,216.5,223.289993,215.259995,220.820007,220.820007,5686000
2021/3/22,220.820007,224.070007,220.270004,220.75,220.75,2743600
2021/3/23,224,229.25,218.173004,220,220,3550200
2021/3/24,221,223.619995,208.600006,208.600006,208.600006,4586200
2021/3/25,206.389999,218.710007,205.070007,216.949997,216.949997,4404900
2021/3/26,220,235,219,235,235,8978700
2021/3/29,230.550003,236.220001,221.039993,223.490005,223.490005,4373900
2021/3/30,221.350006,224.770004,216.259995,222.070007,222.070007,3496500
2021/3/31,222.720001,234.059998,222.449997,229.279999,229.279999,3680200
2021/4/1,234.949997,237.589996,232.020004,236.789993,236.789993,2905100
2021/4/5,237.800003,238.5,229.5,232.320007,232.320007,2235500
2021/4/6,232,239.410004,229.529999,236.009995,236.009995,2433700
2021/4/7,234.509995,240,232.380005,233.970001,233.970001,2072200
2021/4/8,237.199997,242.869995,233.009995,233.75,233.75,4667900
2021/4/9,233.580002,234.660004,223.729996,226.889999,226.889999,5353000
2021/4/12,225,234.158997,223.789993,233.389999,233.389999,2376200
2021/4/13,234.5,239.779999,232.330002,238.080002,238.080002,3031100
2021/4/14,240,243.490005,228.399994,229.139999,229.139999,3503600
2021/4/15,232.990005,236.800003,232.100006,236.380005,236.380005,2262600
2021/4/16,235.729996,235.960007,229,232.740005,232.740005,1621500
2021/4/19,230,233.899994,225.460007,229.070007,229.070007,1917100
2021/4/20,229,231.25,220.5,225.220001,225.220001,2869400
2021/4/21,222,231.869995,221.677002,231.389999,231.389999,1454800
2021/4/22,233.330002,239,229.229996,231.440002,231.440002,2045100
2021/4/23,231.440002,236.580002,231.440002,235.639999,235.639999,1327600
2021/4/26,235.729996,241.059998,234.570007,237.75,237.75,2035000
2021/4/27,239.800003,241.220001,234.190002,238.169998,238.169998,2079600
2021/4/28,236,239.720001,234.100006,236.639999,236.639999,1347000
2021/4/29,236.5,237.806,227.098999,229.550003,229.550003,2415400
2021/4/30,226.75,235.990005,226,231.589996,231.589996,1892500
2021/5/3,232.300003,232.815002,222.880005,223.690002,223.690002,1939400
2021/5/4,220.410004,220.699997,213.899994,218.399994,218.399994,2653000
2021/5/5,220.240005,220.240005,211.889999,213.789993,213.789993,1544100
2021/5/6,210,211.830002,192.410004,199.839996,199.839996,8326700
2021/5/7,206.490005,214.320007,205.214996,206.039993,206.039993,5913700
2021/5/10,202.199997,204.630005,192.610001,193.820007,193.820007,5662500
2021/5/11,189.660004,204.270004,187.100006,201.460007,201.460007,5002600
2021/5/12,196,196.399994,189.770004,191.380005,191.380005,5558900
2021/5/13,193,196.5,184.710007,188.240005,188.240005,3816500
2021/5/14,196,210.880005,194.619995,209.990005,209.990005,7823300
2021/5/17,208.449997,217.800003,205.449997,212.649994,212.649994,4656400
2021/5/18,219.440002,227.130005,214.75,223.529999,223.529999,6401600
2021/5/19,214.820007,229,213.679993,228.809998,228.809998,4644900
2021/5/20,229.759995,236.169998,227.429993,230.559998,230.559998,6326900
2021/5/21,230.850006,235.25,230.789993,233.389999,233.389999,3786900
2021/5/24,235,236.940002,231.779999,233.919998,233.919998,2475300
2021/5/25,236.529999,236.699997,228.572998,229.960007,229.960007,2863800
2021/5/26,231,236.360001,228.300003,235.25,235.25,6346400
2021/5/27,226.5,246.475006,220,245.149994,245.149994,17722100
2021/5/28,238.199997,244.220001,237,238.029999,238.029999,5763200
2021/6/1,239.5,243.559998,235.509995,240.809998,240.809998,3773000
2021/6/2,240.740005,248.199997,239.600006,243.179993,243.179993,4016300
2021/6/3,240,243.229996,233.360001,238.429993,238.429993,3598100
2021/6/4,240.729996,244.860001,237.5,242.559998,242.559998,2627700
2021/6/7,244.649994,252.550003,240.005005,250.570007,250.570007,7385900
2021/6/8,252.990005,255.990005,246.645004,250.320007,250.320007,3618300
2021/6/9,250.350006,255,245.720001,247.009995,247.009995,4214700
2021/6/10,247.300003,250.699997,243.542007,248.800003,248.800003,3033600
