Date,Open,High,Low,Close,Adj Close,Volume
2020/9/16,245,319,231.110001,253.929993,253.929993,36099700
2020/9/17,230.759995,241.5,215.240005,227.539993,227.539993,11907500
2020/9/18,235,249,218.589996,240,240,7475400
2020/9/21,230,241.5,218.600006,228.850006,228.850006,5524900
2020/9/22,238.5,239,225.149994,235.160004,235.160004,3889100
2020/9/23,243.5,254.800003,213,217.389999,217.389999,5851900
2020/9/24,213.509995,230.949997,208.550003,226.740005,226.740005,4822000
2020/9/25,228.119995,236.259995,227.899994,229,229,1985500
2020/9/28,235.929993,253,235.929993,250.410004,250.410004,4241900
2020/9/29,255,259.700012,246.029999,259.130005,259.130005,5290600
2020/9/30,261.5,278.26001,243.050003,251,251,5418900
2020/10/1,255.25,255.910004,238,243.460007,243.460007,3977400
2020/10/2,232.440002,243.119995,227,227.100006,227.100006,2726200
2020/10/5,231.970001,243.429993,231.201004,240,240,2362100
2020/10/6,244.179993,247.990005,239,245.100006,245.100006,1572800
2020/10/7,245.5,252.360001,245.289993,246,246,1682800
2020/10/8,250,250,239.990005,240.190002,240.190002,1343800
2020/10/9,242,243.695007,235.470001,238,238,1728000
2020/10/12,250.320007,251.5,243,243.970001,243.970001,3138900
2020/10/13,247,250.5,245.270004,249.610001,249.610001,1462400
2020/10/14,251.990005,252,239,243.179993,243.179993,1707500
2020/10/15,236.029999,241.354996,231.460007,241,241,1843600
2020/10/16,242,245.990005,241.589996,242.520004,242.520004,1016000
2020/10/19,245,249.860001,243,246.779999,246.779999,1535100
2020/10/20,247,252.5,243.300003,251.770004,251.770004,1734300
2020/10/21,251.649994,271.290009,250.350006,270.609985,270.609985,3359500
2020/10/22,269.01001,301,263,297.089996,297.089996,5192800
2020/10/23,290.339996,294,262.23999,265.049988,265.049988,5619300
2020/10/26,266.070007,271,244.630005,251.389999,251.389999,4040100
2020/10/27,254.889999,273,253.990005,266.769989,266.769989,3492900
2020/10/28,258.5,272.529999,254.009995,272.440002,272.440002,2094300
2020/10/29,273.799988,276.220001,264.160004,265.880005,265.880005,1146900
2020/10/30,261.029999,262.630005,241.5,250.020004,250.020004,2397600
