"日期","開盤指數","最高指數","最低指數","收盤指數",
"114/11/03","28,253.53","28,494.99","28,150.45","28,334.59",
"114/11/04","28,364.76","28,554.61","28,033.62","28,116.56",
"114/11/05","27,785.91","27,799.09","27,373.05","27,717.06",
"114/11/06","27,906.44","28,061.53","27,879.70","27,899.45",
"114/11/07","27,818.54","27,818.54","27,621.48","27,651.41",
"114/11/10","27,805.47","27,976.89","27,680.51","27,869.51",
"114/11/11","28,031.54","28,187.70","27,784.95","27,784.95",
"114/11/12","27,853.47","28,071.76","27,799.92","27,947.09",
"114/11/13","27,867.59","28,038.24","27,811.81","27,903.56",
"114/11/14","27,816.45","27,816.45","27,383.34","27,397.50",
"114/11/17","27,600.74","27,723.77","27,447.31","27,447.31",
"114/11/18","27,310.40","27,310.40","26,756.12","26,756.12",
"114/11/19","26,708.28","26,902.97","26,580.12","26,580.12",
"114/11/20","27,212.91","27,493.63","27,183.03","27,426.36",
"114/11/21","26,821.97","26,821.97","26,395.98","26,434.94",
"114/11/24","26,596.03","26,764.13","26,482.33","26,504.24",
"114/11/25","26,995.90","27,118.02","26,793.71","26,912.17",
"114/11/26","27,063.17","27,409.54","27,063.17","27,409.54",
"114/11/27","27,517.24","27,659.06","27,436.59","27,554.53",
"114/11/28","27,566.12","27,796.90","27,566.12","27,626.48",
