"95年01月06日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1714","和桐","-","13.33","0.77",
"1715","萬洲","11.06","5.49","0.67",
"1716","永信","12.30","5.00","1.54",
"1717","長興","15.69","5.65","1.88",
"1718","中纖","6.37","22.47","0.74",
"1720","生達","10.94","5.08","1.32",
"1721","三晃","28.76","0.00","0.72",
"1722","台肥","11.89","4.50","0.78",
"1723","中碳","8.39","10.76","2.66",
"1724","台硝","-","4.60","1.18",
"1725","元禎","7.55","12.16","1.40",
"1726","永記","10.60","6.48","1.36",
"1727","中華化","9.58","11.03","0.81",
"1729","必翔","14.69","6.06","3.19",
"1730","花仙子","10.93","5.38","0.93",
"1731","美吾華","19.02","3.76","0.78",
"1732","毛寶","-","0.00","1.43",
"1733","五鼎","16.29","7.02","2.49",
"1734","杏輝","12.60","5.46","1.58",
"1735","日勝化","12.45","11.81","0.99",
"1736","喬山","18.08","2.25","6.37",
"1737","臺鹽","13.03","20.89","0.75",
"1802","台玻","11.10","5.41","1.35",
"1805","寶徠","-","0.00","0.51",
"1806","冠軍","8.40","0.00","0.48",
"1808","潤隆","6.09","0.00","0.88",
"1809","中釉","79.38","0.00","0.50",
"1810","和成","-","0.00","0.49",
"1902","台紙","-","0.00","0.39",
"1903","士紙","-","0.00","1.30",
"1904","正隆","25.90","8.72","0.56",
"1905","華紙","10.58","5.51","0.87",
"1906","寶隆","-","0.00","0.42",
"1907","永豐餘","10.68","9.28","0.97",
"1909","榮成","15.79","7.92","0.61",
"2002","中鋼","4.42","17.39","1.39",
"2006","東和鋼鐵","5.82","13.48","1.05",
"2007","燁興","-","0.00","0.45",
"2008","高興昌","-","0.00","0.72",
"2009","第一銅","14.01","6.03","0.90",
"2010","春源","5.83","17.01","0.85",
"2012","春雨","8.54","0.00","0.60",
"2013","中鋼構","19.33","2.32","0.81",
"2014","中鴻","12.75","15.03","0.73",
"2015","豐興","4.59","15.18","1.22",
"2017","官田鋼","-","6.51","0.47",
"2020","美亞","23.00","15.47","1.02",
"2022","聚亨","8.32","10.18","0.46",
"2023","燁輝","6.94","13.51","0.61",
"2024","志聯","-","0.00","0.41",
"2025","千興","-","0.00","0.63",
"2027","大成鋼","8.92","10.84","1.24",
"2028","威致","-","0.00","0.54",
"2029","盛餘","5.90","17.57","1.05",
"2030","彰源","6.13","14.65","0.95",
"2031","新光鋼","9.05","17.48","0.83",
"2032","新鋼","29.14","19.61","0.78",
"2033","佳大","10.23","12.91","0.67",
"2034","允強","8.24","19.81","0.91",
"2101","南港","7.98","0.00","1.87",
"2102","泰豐","7.94","6.33","0.77",
"2103","台橡","6.39","8.35","1.36",
"2104","國際中橡","6.81","5.38","0.74",
"2105","正新","22.50","6.74","1.67",
"2106","建大","40.95","8.58","1.14",
"2107","厚生","-","2.36","0.94",
"2108","南帝","9.71","3.79","0.99",
"2109","華豐","-","2.70","0.67",
"2201","裕隆","8.47","5.73","0.99",
"2204","中華","12.73","6.47","1.06",
"2206","三陽工業","7.36","11.25","0.78",
"2207","和泰車","9.51","4.99","2.57",
"2227","裕日車","11.08","5.38","2.69",
"2301","光寶科","13.31","4.89","2.36",
"2302","麗正","-","0.00","0.26",
"2303","聯電","67.59","6.19","1.39",
"2305","全友","-","0.00","0.52",
"2308","台達電","19.61","4.14","3.14",
"2311","日月光","-","2.63","3.10",
"2312","金寶","14.90","6.10","1.18",
"2313","華通","-","0.00","1.64",
"2314","台揚","39.82","0.00","1.00",
"2315","神達","14.57","1.89","2.90",
"2316","楠梓電","-","5.56","0.93",
"2317","鴻海","22.45","2.20","5.04",
"2321","東訊","13.13","5.44","1.07",
"2323","中環","-","0.00","0.70",
