"日期","開盤指數","最高指數","最低指數","收盤指數",
"114/10/01","26,078.29","26,325.79","25,982.91","25,982.91",
"114/10/02","26,392.31","26,489.79","26,330.25","26,378.39",
"114/10/03","26,435.10","26,761.06","26,410.03","26,761.06",
"114/10/07","27,029.28","27,301.42","27,017.08","27,211.95",
"114/10/08","26,999.82","27,110.43","26,883.99","27,063.68",
"114/10/09","27,301.61","27,463.12","27,253.07","27,301.92",
"114/10/13","26,762.60","26,965.72","26,470.44","26,923.42",
"114/10/14","27,282.10","27,507.16","26,764.06","26,793.15",
"114/10/15","26,911.05","27,275.71","26,773.15","27,275.71",
"114/10/16","27,337.32","27,732.78","27,337.32","27,647.87",
"114/10/17","27,399.91","27,513.09","27,302.37","27,302.37",
"114/10/20","27,480.44","27,768.27","27,412.45","27,688.63",
"114/10/21","27,742.55","27,969.05","27,742.55","27,752.41",
"114/10/22","27,614.11","27,725.83","27,490.89","27,648.91",
"114/10/23","27,457.07","27,586.85","27,371.67","27,532.26",

