"日期","開盤指數","最高指數","最低指數","收盤指數",
"115/05/04","39,228.39","40,755.52","39,228.39","40,705.14",
"115/05/05","40,708.40","40,885.05","40,522.78","40,769.29",
"115/05/06","40,983.04","41,575.84","40,616.28","41,138.85",
"115/05/07","41,259.96","42,156.06","41,259.96","41,933.78",
"115/05/08","41,886.03","42,038.60","41,132.25","41,603.94",
"115/05/11","41,714.00","42,021.78","41,529.25","41,790.06",
"115/05/12","41,880.66","42,253.42","41,471.57","41,898.32",
"115/05/13","41,795.92","41,795.92","41,014.53","41,374.50",
"115/05/14","41,496.23","42,205.62","41,496.23","41,751.75",
"115/05/15","41,830.42","42,408.66","41,016.73","41,172.36",
