"日期","開盤指數","最高指數","最低指數","收盤指數",
"115/03/02","35,277.48","35,345.72","34,605.36","35,095.09",
"115/03/03","35,106.22","35,264.59","34,323.65","34,323.65",
"115/03/04","34,228.75","34,228.75","32,828.88","32,828.88",
"115/03/05","33,620.74","34,319.68","33,472.91","33,672.94",
"115/03/06","33,483.94","33,829.49","33,322.52","33,599.54",
"115/03/09","32,354.61","32,354.61","31,529.36","32,110.42",
"115/03/10","32,692.37","33,256.69","32,455.20","32,771.87",
"115/03/11","33,128.49","34,218.66","33,128.49","34,114.19",
"115/03/12","33,816.15","34,019.48","33,458.64","33,581.86",
"115/03/13","33,215.78","33,639.18","33,013.46","33,400.32",
"115/03/16","33,541.25","33,765.81","33,278.06","33,342.51",
"115/03/17","33,380.84","34,008.70","33,380.84","33,836.57",
"115/03/18","33,929.28","34,423.66","33,929.28","34,348.58",
"115/03/19","34,279.12","34,279.12","33,663.78","33,689.68",
"115/03/20","33,719.85","33,989.18","33,379.24","33,543.88",
"115/03/23","33,334.00","33,334.00","32,461.09","32,722.50",
"115/03/24","33,062.89","33,361.46","32,434.54","32,612.24",
"115/03/25","32,725.27","33,705.75","32,725.27","33,439.11",
