"114年08月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"114/08/01","23,318.37","23,484.21","23,168.27","23,434.38",
"114/08/04","23,260.18","23,378.94","23,151.65","23,378.94",
"114/08/05","23,498.40","23,671.84","23,498.40","23,660.59",
"114/08/06","23,443.36","23,557.49","23,433.53","23,447.36",
"114/08/07","23,717.35","24,050.54","23,717.35","24,003.77",
"114/08/08","24,026.65","24,131.46","23,967.99","24,021.26",
"114/08/11","23,980.39","24,249.05","23,887.25","24,135.50",
"114/08/12","24,182.84","24,263.92","24,065.43","24,158.36",
"114/08/13","24,232.04","24,406.94","24,172.19","24,370.02",
"114/08/14","24,258.50","24,389.51","24,198.88","24,238.10",
"114/08/15","24,266.23","24,385.56","24,164.43","24,334.48",
"114/08/18","24,272.55","24,515.65","24,257.30","24,482.52",
"114/08/19","24,493.92","24,551.42","24,324.29","24,353.50",
"114/08/20","24,309.27","24,309.27","23,620.24","23,625.44",
"114/08/21","23,739.83","24,011.50","23,739.83","23,962.13",
"114/08/22","24,033.02","24,071.65","23,764.47","23,764.47",
