"日期","開盤指數","最高指數","最低指數","收盤指數",
"115/08/03","42,780.42","43,784.19","42,780.42","43,386.41",
"115/08/04","43,092.49","43,912.77","42,895.81","43,360.66",
"115/08/05","43,809.83","44,980.31","43,809.83","44,611.60",
"115/08/06","44,487.94","44,601.24","44,024.32","44,396.70",
"115/08/07","44,450.19","44,827.13","43,941.56","44,225.91",
"115/08/10","44,540.71","45,219.40","44,540.71","44,928.76",
"115/08/11","44,883.90","45,195.41","44,652.06","45,120.72",
"115/08/12","45,175.70","45,529.48","45,175.70","45,518.07",
"115/08/13","45,676.54","46,216.41","45,676.54","46,021.48",
"115/08/14","46,103.81","46,402.60","45,798.31","45,811.01",
"115/08/17","45,841.17","46,189.30","45,765.07","45,857.27",
"115/08/18","45,922.40","46,064.09","45,225.42","45,308.68",
"115/08/19","45,071.34","45,071.34","44,308.71","44,719.35",
"115/08/20","44,942.01","45,160.05","44,446.36","44,933.74",
"115/08/21","44,923.34","45,254.84","44,583.87","45,224.29",
