"日期","開盤指數","最高指數","最低指數","收盤指數",
"115/07/01","46,234.70","47,293.10","46,234.70","47,018.99",
"115/07/02","46,833.89","46,910.31","45,981.89","46,744.16",
"115/07/03","46,545.14","46,948.83","45,880.69","46,780.62",
"115/07/06","46,897.18","47,395.30","46,431.38","46,556.39",
"115/07/07","46,537.34","46,967.04","45,432.02","45,479.11",
"115/07/08","45,524.69","45,837.12","45,036.64","45,734.41",
"115/07/09","45,805.62","46,064.06","45,352.41","45,354.61",
"115/07/13","45,500.32","46,330.91","45,272.90","45,380.52",
"115/07/14","45,364.40","45,364.40","43,654.04","44,737.95",
"115/07/15","44,850.69","45,881.91","44,850.69","45,631.59",
"115/07/16","45,511.98","45,855.02","44,970.64","45,624.98",
"115/07/17","45,234.08","45,234.08","42,671.27","42,671.27",
