"114年06月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"114/06/02","21,253.97","21,256.10","20,940.98","21,002.71",
"114/06/03","21,126.70","21,303.21","21,110.63","21,126.93",
"114/06/04","21,341.44","21,618.09","21,341.44","21,618.09",
"114/06/05","21,695.93","21,738.93","21,626.74","21,674.43",
"114/06/06","21,637.77","21,702.46","21,606.70","21,660.66",
"114/06/09","21,773.45","21,866.27","21,717.52","21,790.29",
"114/06/10","21,921.24","22,294.86","21,921.24","22,242.14",
"114/06/11","22,376.37","22,470.10","22,294.60","22,470.10",
"114/06/12","22,362.67","22,390.17","22,253.64","22,287.82",
"114/06/13","22,215.50","22,228.01","21,984.36","22,072.95",
"114/06/16","22,058.57","22,094.60","21,936.38","22,049.90",
"114/06/17","22,172.59","22,331.69","22,118.46","22,211.59",
"114/06/18","22,135.83","22,370.25","22,104.68","22,356.73",
"114/06/19","22,238.10","22,249.40","21,973.04","22,003.50",
"114/06/20","21,960.51","22,089.48","21,779.55","22,045.74",
"114/06/23","21,750.70","21,801.32","21,551.58","21,732.02",
"114/06/24","22,001.48","22,201.05","22,001.48","22,188.76",
"114/06/25","22,341.87","22,444.51","22,284.52","22,430.61",
"114/06/26","22,425.39","22,587.67","22,391.27","22,492.34",
"114/06/27","22,503.85","22,580.08","22,388.59","22,580.08",
"114/06/30","22,508.33","22,558.95","22,256.02","22,256.02",
