"115年03月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"115/03/02","35,277.48","35,345.72","34,605.36","35,095.09",
"115/03/03","35,106.22","35,264.59","34,323.65","34,323.65",
"115/03/04","34,228.75","34,228.75","32,828.88","32,828.88",
"115/03/05","33,620.74","34,319.68","33,472.91","33,672.94",
"115/03/06","33,483.94","33,829.49","33,322.52","33,599.54",
"115/03/09","32,354.61","32,354.61","31,529.36","32,110.42",
"115/03/10","32,692.37","33,256.69","32,455.20","32,771.87",
"115/03/11","33,128.49","34,218.66","33,128.49","34,114.19",
"115/03/12","33,816.15","34,019.48","33,458.64","33,581.86",
"115/03/13","33,215.78","33,639.18","33,013.46","33,400.32",
