日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,騰落指標,漲跌家數,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,未平倉量
2014/12/3,13.75,14.15,13.75,14.1,0,0,,,,,,9195,,70809,,,748,,,-15188,-15188,175610,,,0,,,8640,,,184251,,,0
2014/12/4,14.1,14.65,14,14.35,0.25,1.773,,,,,,22279,,70241,,,771,,,-15069,119,175001,,,0,,,10300,,,185302,,,0
2014/12/5,14.4,14.85,14.4,14.65,0.3,2.0906,,,,,,26099,,69834,,,935,,,-14832,237,175545,,,0,,,8818,,,184364,,,0
2014/12/8,14.8,14.8,14.45,14.55,-0.1,-0.6826,,,,,,9007,,69990,,,833,,,-14837,-5,175383,,,0,,,8171,,,183555,,,0
2014/12/9,14.55,14.95,14.5,14.7,0.15,1.0309,14.47,,,,,16247,16565,70709,70316.6,,1028,863,,-15156,-319,175841,175477,,0,0,,8265,8840,,184107,184316,,0
2014/12/10,15,15.2,14.75,14.8,0.1,0.6803,14.61,,,,,29960,20718,74101,70975,,1199,953.2,,-15567,-411,175566,175468,,0,0,,8138,8739,,183705,184207,,0
2014/12/11,14.8,15.1,14.7,14.9,0.1,0.6757,14.72,,,,,16378,19538,74073,71741.4,,1375,1074,,-15651,-84,175248,175517,,0,0,,8803,8440,,184052,183957,,0
2014/12/12,15,15.1,14.7,14.75,-0.15,-1.0067,14.74,,,,,10546,16427,73318,72438.2,,1270,1141,,-15401,250,175194,175447,,0,0,,8287,8334,,183482,183781,,0
2014/12/15,14.6,14.65,14.5,14.65,-0.1,-0.678,14.76,,,,,7885,16203,73667,73173.6,,1125,1199.4,,-15570,-169,175426,175456,,0,0,,7419,8183,,182846,183639,,0
2014/12/16,14.5,14.85,14.5,14.5,-0.15,-1.0239,14.72,14.595,,,,12813,15516,73076,73647,71981.8,833,1160.4,1011.7,-15431,139,174806,175249,175363,0,0,0,7758,8082,8461,182565,183331,183824,0
2014/12/17,14.5,14.65,14.35,14.35,-0.15,-1.0345,14.63,14.62,,,,8530,11230,73406,73508,72241.5,720,1064.6,1008.9,-15910,-479,174553,175046,175257,0,0,0,6998,7854,8297,181552,182900,183554,0
2014/12/18,14.5,14.55,14.2,14.2,-0.15,-1.0453,14.49,14.605,,,,8774,9709,73183,73330,72535.7,629,915.4,994.7,-15857,53,173509,174698,175108,0,0,0,6844,7462,7951,180354,182160,183059,0
2014/12/19,14.45,14.5,14.1,14.2,0,0,14.38,14.56,,,,10594,9719,72900,73246.4,72842.3,627,786.8,963.9,-15928,-71,173628,174385,174916,0,0,0,6551,7115,7724,180180,181500,182640,0
2014/12/22,14.25,14.75,14.25,14.65,0.45,3.169,14.38,14.57,,,,11913,10524,73027,73118.4,73146,607,683.2,941.3,-15481,447,173752,174050,174753,0,0,0,9364,7504,7844,183117,181554,182597,0
2014/12/23,14.75,14.8,14.45,14.5,-0.15,-1.0239,14.38,14.55,,,,7105,9383,73987,73300.6,73473.8,589,634.4,897.4,-15253,228,173158,173721,174485,0,0,0,7549,7462,7772,180708,181183,182257,0
2014/12/24,14.5,14.75,14.5,14.65,0.15,1.0345,14.44,14.535,,,,6853,9047,74286,73476.6,73492.3,576,605.6,835.1,-14748,505,172825,173375,174211,0,0,0,7978,7658,7756,180804,181033,181967,0
2014/12/25,14.7,15.1,14.55,14.95,0.3,2.0478,14.59,14.54,,,,24873,12267,75725,73985,73657.5,927,665.2,790.3,-14818,-70,172478,173169,173934,0,0,0,12833,8856,8159,185312,182025,182093,0
2014/12/26,14.95,14.95,14.75,14.8,-0.15,-1.0033,14.71,14.545,,,,12309,12610,72524,73909.8,73578.1,635,666.8,726.8,-14548,270,172163,172876,173630,0,0,0,10674,9680,8398,182838,182556,182028,0
2014/12/27,14.9,15,14.7,14.85,0.05,0.3378,14.75,14.565,,,,10592,12346,71365,73577.4,73347.9,649,675.2,679.2,-14294,254,172163,172558,173304,0,0,0,10045,9817,8660,182209,182375,181964,0
2014/12/29,14.8,14.95,14.75,14.8,-0.05,-0.3367,14.81,14.595,14.595,,,6097,12144,71024,72984.8,73142.7,643,686,660.2,-14278,16,168292,171585,172653,0,0,0,9866,10280,8871,178159,181865,181524,0
2014/12/30,14.85,15.1,14.8,14.8,0,0,14.84,14.64,14.63,,,9884,12751,71815,72490.6,72983.6,659,702.6,654.1,-14497,-219,167385,170497,171936,0,0,0,10093,10703,9181,177479,181200,181116,0
2014/12/31,14.95,14.95,14.65,14.7,-0.1,-0.6757,14.79,14.69,14.6475,,,7455,9267,70734,71492.4,72738.7,594,636,650.6,-14302,195,167159,169433,171301,0,0,0,8499,9836,9346,175659,179269,180647,0
2015/1/5,14.65,15.1,14.6,15,0.3,2.0408,14.83,14.77,14.665,,,18514,10508,76595,72306.6,73108.2,712,651.4,659.1,-14286,16,166814,168363,170619,5018,1004,502,10367,9775,9728,182201,179142,180849,0
2015/1/6,14.8,14.95,14.65,14.7,-0.3,-2,14.8,14.775,14.6725,,,9377,10265,77047,73443,73510.2,725,666.6,670.9,-14890,-604,166441,167219,169888,5018,2007,1004,8258,9417,9617,179718,178644,180509,0
2015/1/7,14.65,14.9,14.6,14.75,0.05,0.3401,14.79,14.8,14.675,,,5170,10080,77586,74755.4,73870.1,671,672.2,679.1,-14637,253,166784,166917,169251,5017,3011,1506,8057,9056,9668,179859,178984,180424,0
2015/1/8,14.9,15,14.8,14.85,0.1,0.678,14.8,14.82,14.6775,,,10160,10135,78227,76037.8,74264.2,668,674,688.3,-14350,287,166641,166768,168632,5017,4015,2007,8115,8660,9682,179774,179443,180321,0
2015/1/9,15,15.2,14.9,15.05,0.2,1.3468,14.87,14.83,14.685,,,17687,12181,78258,77542.6,74517.5,699,695,665.5,-14230,120,166516,166640,168036,5017,5018,2509,10336,9027,9432,181870,180685,179977,0
