日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,騰落指標,漲跌家數,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,未平倉量
2014/6/12,74.4,74.5,73.6,74.5,0,0,,,,,,3166,,11436,,,908,,,-10952,-10952,60908,,,5098,,,9416,,,75423,,,0
2014/6/13,74.1,74.5,73.5,73.5,-1,-1.3423,,,,,,4679,,10671,,,904,,,-11025,-73,60852,,,5097,,,7941,,,73891,,,0
2014/6/16,73.5,73.9,71.9,73,-0.5,-0.6803,,,,,,2101,,10377,,,853,,,-10975,50,61043,,,5095,,,7469,,,73608,,,0
2014/6/17,73,73.3,72,72.2,-0.8,-1.0959,,,,,,1718,,10320,,,812,,,-10988,-13,60881,,,5195,,,7130,,,73207,,,0
2014/6/18,72.6,73.2,71.3,71.9,-0.3,-0.4155,73.02,,,,,1240,2580,10294,10619.6,,759,847.2,,-10877,111,61009,60939,,5245,5147,,6945,7780,,73200,73866,,0
2014/6/19,72,72.6,71.6,72.4,0.5,0.6954,72.6,,,,,705,2088,10265,10385.4,,756,816.8,,-10761,116,61100,60978,,5313,5190,,6767,7251,,73181,73418,,0
2014/6/20,72.4,73.7,72.4,72.6,0.2,0.2762,72.42,,,,,1184,1389,10393,10329.8,,749,785.8,,-11016,-255,60927,60993,,5333,5237,,6664,6995,,72925,73225,,0
2014/6/23,72.3,72.3,70.2,70.3,-2.3,-3.168,71.88,,,,,2363,1442,10389,10332.2,,531,721.4,,-11504,-488,60161,60816,,5318,5281,,6419,6785,,71899,72883,,0
2014/6/24,70.2,70.8,70.2,70.5,0.2,0.2845,71.54,,,,,1482,1394,10502,10368.6,,523,663.6,,-11180,324,59504,60541,,5349,5312,,6350,6629,,71204,72482,,0
2014/6/25,70.2,71.7,70,71,0.5,0.7092,71.36,72.19,,,,842,1315,10506,10411,10515.3,539,619.6,733.4,-11166,14,59470,60233,60586,5349,5333,5240,6308,6502,7141,71128,72068,72967,0
2014/6/26,71.4,71.7,70.6,71,0,0,71.08,71.84,,,,762,1326,10537,10465.4,10425.4,514,571.2,694,-10834,332,59261,59865,60422,5361,5343,5266,6302,6409,6830,70925,71617,72517,0
