日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,騰落指標,漲跌家數,未平倉量
2015/4/30,200,275,200,275,0,0,,,,,,183,,0,,,0,,,0,,,0,,,0,,,0,,,-15039,-15039,0
2015/5/4,274,305.99,260.3,295,20,7.2727,,,,,,175,,0,,,0,,,0,,,0,,,0,,,0,,,-15209,-170,0
2015/5/5,285.95,285.95,266.96,276.01,-18.99,-6.4373,,,,,,72,,0,,,0,,,0,,,0,,,0,,,0,,,-15446,-237,0
2015/5/6,270,274,261.01,262.5,-13.51,-4.8948,,,,,,61,,0,,,0,,,0,,,0,,,0,,,0,,,-15418,28,0
2015/5/7,258,258,249.2,252,-10.5,-4,272.102,,,,,76,113,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-15708,-290,0
2015/5/8,251.3,270,251.3,258,6,2.381,268.702,,,,,71,91,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-15946,-238,0
2015/5/11,257.5,257.5,233.71,245,-13,-5.0388,258.702,,,,,39,63,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-16443,-497,0
2015/5/12,240,241.5,239,240,-5,-2.0408,251.5,,,,,39,57,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-16510,-67,0
2015/5/13,240.21,240.69,230,239,-1,-0.4167,246.8,,,,,20,49,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-16328,182,0
2015/5/14,240,253.68,239.99,245.59,6.59,2.7573,245.518,258.81,,,,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16494,-166,0
2015/5/15,246,246,240,242,-3.59,-1.4618,242.318,255.51,,,,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16665,-171,0
