日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,騰落指標,漲跌家數,未平倉量
2011/11/8,34,34,33.05,33.05,0,0,,,,,,2018,,30646,,,931,,,13732,,,115,,,1013,,,14862,,,-5069,-5069,0
2011/11/9,33.85,34.05,33.2,33.2,0.15,0.4539,,,,,,2228,,30706,,,986,,,13089,,,115,,,972,,,14178,,,-5322,-253,0
2011/11/10,32.2,32.5,30.9,30.9,-2.3,-6.9277,,,,,,2917,,30433,,,666,,,12645,,,115,,,936,,,13698,,,-6129,-807,0
2011/11/11,31,31.2,29.45,30.1,-0.8,-2.589,,,,,,2278,,30352,,,584,,,12608,,,115,,,875,,,13600,,,-5912,217,0
2011/11/14,30.85,31.4,30.65,31.1,1,3.3223,31.67,,,,,1263,2140,30232,30473.8,,617,756.8,,12611,12938,,116,116,,889,938,,13618,13991,,-5250,662,0
2011/11/15,31,31.25,30.55,30.9,-0.2,-0.6431,31.24,,,,,672,1871,30223,30389.2,,613,693.2,,12678,12727,,116,116,,894,914,,13690,13757,,-5649,-399,0
2011/11/16,31.05,31.45,30.6,30.85,-0.05,-0.1618,30.77,,,,,803,1586,30318,30311.6,,573,610.6,,12673,12644,,116,116,,900,900,,13691,13660,,-6218,-569,0
2011/11/17,30.5,31,30.5,30.65,-0.2,-0.6483,30.72,,,,,539,1111,30412,30307.4,,602,597.8,,12749,12665,,88,111,,863,885,,13702,13660,,-6274,-56,0
2011/11/18,30.65,30.7,29.8,30.05,-0.6,-1.9576,30.71,,,,,966,848,30507,30338.4,,529,586.8,,12739,12691,,88,105,,828,876,,13657,13672,,-6877,-603,0
2011/11/21,30.05,30.15,27.95,27.95,-2.1,-6.9884,30.08,30.875,,,,2635,1123,29844,30260.8,30367.3,453,554,655.4,12694,12707,12823,88,100,108,759,850,894,13543,13657,13824,-7777,-900,0
2011/11/22,27.1,27.7,26,26,-1.95,-6.9767,29.1,30.17,,,,1828,1354,28703,29956.8,30173,396,510.6,601.9,12735,12719,12723,89,94,105,731,817,865,13557,13630,13694,-8356,-579,0
