日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,騰落指標,漲跌家數,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,未平倉量
2014/12/3,273,276,271,273.5,0,0,,,,,,328,,83,,,5,,,-15188,-15188,211524,,,706,,,63,,,212295,,,0
2014/12/4,276.5,280,276.5,280,6.5,2.3766,,,,,,233,,68,,,5,,,-15069,119,211653,,,706,,,64,,,212424,,,0
2014/12/5,280,290,275.5,286,6,2.1429,,,,,,382,,70,,,5,,,-14832,237,211717,,,703,,,73,,,212495,,,0
2014/12/8,286,286,274,275,-11,-3.8462,,,,,,790,,120,,,5,,,-14837,-5,211336,,,703,,,96,,,212136,,,0
2014/12/9,275,276.5,273,275,0,0,277.9,,,,,592,465,125,93.2,,5,5,,-15156,-319,211281,211503,,703,705,,96,79,,212081,212287,,0
2014/12/10,275,275,268,271,-4,-1.4545,277.4,,,,,566,512,126,101.8,,5,5,,-15567,-411,211237,211446,,703,704,,93,85,,212035,212235,,0
2014/12/11,271,271.5,268,268,-3,-1.107,275,,,,,454,556,142,116.6,,5,5,,-15651,-84,211130,211341,,703,704,,93,91,,211927,212135,,0
2014/12/12,270,273,267,267,-1,-0.3731,271.2,,,,,617,603,146,131.8,,5,5,,-15401,250,211123,211222,,663,696,,93,95,,211880,212012,,0
2014/12/15,273,273,266,266,-1,-0.3745,269.4,,,,,452,536,153,138.4,,5,5,,-15570,-169,211135,211182,,630,681,,94,95,,211860,211957,,0
2014/12/16,267,268.5,263,264.5,-1.5,-0.5639,267.3,272.6,,,,237,465,163,146,119.6,5,5,5,-15431,139,211096,211145,211324,630,666,686,93,94,87,211820,211905,212096,0
2014/12/17,268,268,258,259,-5.5,-2.0794,264.9,271.15,,,,715,495,163,153.4,127.6,3,4.6,4.8,-15910,-479,211001,211097,211271,615,649,676,100,95,90,211717,211841,212038,0
2014/12/18,266,267,260,263,4,1.5444,263.9,269.45,,,,439,492,168,158.6,137.6,3,4.2,4.6,-15857,53,210968,211065,211203,600,628,666,92,95,93,211662,211788,211962,0
2014/12/19,266,270.5,264,270,7,2.6616,264.5,267.85,,,,372,443,144,158.2,145,4,4,4.5,-15928,-71,211101,211061,211141,584,612,654,89,94,95,211776,211767,211890,0
2014/12/22,270.5,271,267.5,267.5,-2.5,-0.9259,264.8,267.1,,,,133,379,144,156.4,147.4,4,3.8,4.4,-15481,447,211094,211053,211117,584,603,642,89,93,94,211769,211749,211853,0
2014/12/23,268,271.5,268,270.5,3,1.1215,266,266.65,,,,178,367,138,151.4,148.7,4,3.6,4.3,-15253,228,211108,211055,211100,583,594,630,89,93,93,211782,211741,211823,0
2014/12/24,273,275,270,273,2.5,0.9242,268.8,266.85,,,,235,271,110,140.8,147.1,4,3.8,4.2,-14748,505,211125,211080,211089,583,587,618,89,90,93,211798,211758,211800,0
2014/12/25,273,273,271.5,272.5,-0.5,-0.1832,270.7,267.3,,,,71,197,105,128.2,143.4,4,4,4.1,-14818,-70,211143,211115,211090,583,584,606,89,90,92,211816,211789,211788,0
2014/12/26,273,276,273,274,1.5,0.5505,271.5,268,,,,65,136,103,120,139.1,4,4,4,-14548,270,211173,211129,211095,583,584,598,89,90,92,211846,211803,211785,0
2014/12/27,274,274,272.5,272.5,-1.5,-0.5474,272.5,268.65,,,,5,110,103,111.8,134.1,4,4,3.9,-14294,254,211173,211145,211099,583,584,593,90,90,92,211847,211818,211784,0
2014/12/29,272.5,279,272.5,278.5,6,2.2018,274.1,270.05,271.325,,,228,120,80,100.2,125.8,4,4,3.8,-14278,16,211305,211184,211120,583,584,589,87,90,91,211976,211857,211799,0
2014/12/30,272,277,272,274,-4.5,-1.6158,274.3,271.55,271.35,,,304,134,68,91.8,116.3,4,4,3.9,-14497,-219,211318,211223,211151,583,584,585,87,89,90,211989,211895,211826,0
2014/12/31,278,281.5,275,281,7,2.5547,276,273.35,271.4,,,599,240,76,86,107.1,4,4,4,-14302,195,211432,211281,211198,583,584,584,86,89,89,212102,211953,211871,0
2015/1/5,279.5,279.5,272,275,-6,-2.1352,276.2,273.85,270.85,,,617,350,89,83.2,101.6,4,4,4,-14286,16,211324,211311,211220,1435,754,669,83,87,89,212843,212152,211977,0
2015/1/6,272,273.5,268,269,-6,-2.1818,275.5,274,270.55,,,687,487,97,82,96.9,4,4,4,-14890,-604,211185,211313,211229,1435,924,754,65,82,86,212686,212320,212069,0
2015/1/7,267,267,265,265,-4,-1.487,272.8,273.45,270.05,,,422,525,124,90.8,95.5,4,4,4,-14637,253,211055,211263,211224,1435,1095,839,55,76,83,212546,212434,212145,0
2015/1/8,267,277.5,265.5,270,5,1.8868,272,273.15,270,,,341,533,110,99.2,95.5,4,4,4,-14350,287,211106,211221,211222,1430,1264,924,55,70,79,212592,212554,212225,0
2015/1/9,272,274,268.5,270,0,0,269.8,272.9,270.1,,,232,459,116,107.2,96.6,4,4,4,-14230,120,211092,211153,211217,1430,1433,1008,55,63,76,212578,212649,212301,0
2015/1/12,269.5,276,266.5,274,4,1.4815,269.6,272.9,270.45,,,384,413,92,107.8,95.5,5,4.2,4.1,-14436,-206,211150,211118,211214,1430,1432,1093,55,58,73,212637,212608,212380,0
2015/1/13,274,279,272.5,278,4,1.4599,271.4,273.45,271.05,,,443,364,71,102.6,92.3,5,4.4,4.2,-14257,179,211234,211128,211220,1430,1431,1178,84,62,72,212749,212621,212470,0
2015/1/14,280,280,270.5,274,-4,-1.4388,273.2,273,271.525,,,499,379,88,95.4,93.1,5,4.6,4.3,-14377,-120,211203,211157,211210,1430,1430,1263,90,69,72,212724,212656,212545,0
2015/1/15,272,274,268,269,-5,-1.8248,273,272.5,272.025,,,364,384,133,100,99.6,5,4.8,4.4,-14622,-245,211091,211154,211187,1430,1430,1347,44,66,68,212566,212651,212603,0
2015/1/16,269,269,263.5,267.5,-1.5,-0.5576,272.5,271.15,272.25,,,459,429,139,104.6,105.9,4,4.8,4.4,-15187,-565,211030,211142,211147,1430,1430,1432,42,64,64,212503,212636,212643,0
2015/1/19,269,272,266.5,268.5,1,0.3738,271.4,270.5,272.175,,,333,419,141,114.4,111.1,5,4.8,4.5,-15421,-234,211047,211121,211120,1430,1430,1431,41,61,59,212519,212613,212610,0
2015/1/20,268.5,277,268.5,274.5,6,2.2346,270.7,271.05,272.525,,,387,408,77,115.6,109.1,5,4.8,4.6,-14822,599,211299,211134,211131,1430,1430,1431,42,53,57,212773,212617,212619,0
