"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"4977","眾達-KY","4.17","107","24.62","3.09","108/1",
"4989","榮科","6.69","107","17.45","1.55","108/1",
"4994","傳奇","0.00","106","-","7.92","108/1",
"4999","鑫禾","7.87","107","7.30","0.97","108/1",
"5007","三星","5.44","107","15.18","2.46","108/1",
"5203","訊連","4.13","107","17.43","1.57","108/1",
"5215","科嘉-KY","7.53","107","8.28","0.94","108/1",
"5225","東科-KY","3.81","107","5.97","1.17","108/1",
"5234","達興材料","6.11","107","12.48","3.01","108/1",
"5243","乙盛-KY","4.24","107","14.49","0.99","108/1",
"5258","虹堡","1.96","106","-","1.61","108/1",
"5264","鎧勝-KY","2.37","107","-","0.54","108/1",
"5269","祥碩","2.60","107","25.61","10.65","108/1",
"5283","禾聯碩","9.20","107","6.90","2.03","108/1",
"5284","jpp-KY","4.78","107","14.58","1.29","108/1",
"5285","界霖","5.83","107","15.20","2.19","108/1",
"5288","豐祥-KY","3.83","107","14.08","2.82","108/1",
"5305","敦南","7.59","107","9.76","1.10","108/1",
"5388","中磊","3.71","107","19.82","2.19","108/1",
"5434","崇越","6.53","107","9.67","1.63","108/1",
"5469","瀚宇博","3.88","107","7.74","0.65","108/1",
"5471","松翰","6.71","107","14.69","1.67","108/1",
"5484","慧友","0.00","107","-","0.73","108/1",
"5515","建國","4.78","107","15.83","0.68","108/1",
"5519","隆大","5.92","107","6.10","0.83","108/1",
"5521","工信","8.36","106","-","0.70","108/1",
"5522","遠雄","7.50","107","14.44","0.77","108/1",
"5525","順天","10.56","107","5.89","1.30","108/1",
"5531","鄉林","1.01","107","-","0.83","108/1",
"5533","皇鼎","4.35","107","25.97","0.61","108/1",
"5534","長虹","7.92","107","10.64","1.48","108/1",
"5538","東明-KY","5.95","107","11.96","1.40","108/1",
"5607","遠雄港","1.99","107","15.34","0.88","108/1",
"5608","四維航","0.00","106","-","0.46","108/1",
"5706","鳳凰","5.60","107","12.91","2.06","108/1",
"5871","中租-KY","3.59","107","11.63","2.47","108/1",
"5876","上海商銀","3.57","107","15.95","1.67","108/1",
"5880","合庫金","5.08","107","16.39","1.20","108/1",
"5906","台南-KY","0.00","106","23.48","1.13","108/1",
"5907","大洋-KY","5.20","107","11.89","0.69","108/1",
"6005","群益證","4.31","107","17.87","0.63","108/1",
"6024","群益期","7.11","107","14.41","1.62","108/1",
"6108","競國","8.35","107","7.80","1.17","108/1",
"6112","邁達特","5.56","107","12.93","1.71","108/1",
"6115","鎰勝","6.98","107","13.65","1.58","108/1",
"6116","彩晶","4.48","107","60.82","0.51","108/1",
"6117","迎廣","8.73","106","-","0.90","108/1",
