"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1714","和桐","22.66","0.00","1.06",
"1715","萬洲","25.53","5.22","1.31",
"1716","永信","15.60","5.30","1.91",
"1717","長興","14.44","6.15","2.13",
"1718","中纖","29.00","0.00","1.26",
"1720","生達","14.31","5.32","1.75",
"1721","三晃","-","0.00","1.67",
"1722","台肥","16.53","3.82","1.49",
"1723","中碳","13.97","5.55","4.42",
"1724","台硝","10.96","6.28","1.13",
"1725","元禎","11.67","8.90","1.56",
"1726","永記","11.63","5.22","1.48",
"1727","中華化","35.80","3.17","1.29",
"1729","必翔","33.91","3.97","4.94",
"1730","花仙子","13.37","6.30","1.05",
"1731","美吾華","40.47","1.17","1.53",
"1732","毛寶","20.00","0.00","1.11",
"1733","五鼎","16.14","4.10","5.39",
"1734","杏輝","39.13","1.60","2.13",
"1735","日勝化","25.19","2.25","0.88",
"1736","喬山","18.86","4.85","3.82",
"1737","臺鹽","28.00","5.16","1.04",
"1802","台玻","23.62","2.92","1.94",
"1805","寶徠","-","0.00","1.59",
"1806","冠軍","11.39","6.45","1.32",
"1808","潤隆","24.81","9.38","2.15",
"1809","中釉","25.57","1.85","0.99",
"1810","和成","54.00","0.00","0.91",
"1902","台紙","14.88","0.00","0.76",
"1903","士紙","19.20","0.00","2.01",
"1904","正隆","22.83","5.79","0.83",
"1905","華紙","15.04","2.87","1.38",
"1906","寶隆","21.82","0.00","0.59",
"1907","永豐餘","23.33","5.00","1.06",
"1909","榮成","22.50","6.21","0.81",
"2002","中鋼","10.20","6.86","2.46",
"2006","東和鋼鐵","9.95","6.60","2.21",
"2007","燁興","-","0.00","0.46",
"2008","高興昌","49.21","0.00","1.57",
"2009","第一銅","16.34","10.45","1.04",
"2010","春源","16.67","8.15","0.84",
"2012","春雨","34.71","5.14","0.80",
"2013","中鋼構","13.07","5.80","0.99",
"2014","中鴻","8.87","1.42","1.39",
"2015","豐興","9.65","6.25","2.19",
"2017","官田鋼","-","0.00","0.76",
"2020","美亞","6.15","8.28","1.56",
"2022","聚亨","-","0.00","0.52",
"2023","燁輝","9.72","7.25","0.75",
"2024","志聯","139.80","0.00","0.57",
"2025","千興","10.90","0.00","0.90",
"2027","大成鋼","6.97","6.52","2.06",
"2028","威致","7.31","0.00","1.05",
"2029","盛餘","10.96","9.57","1.30",
"2030","彰源","6.69","13.62","1.75",
"2031","新光鋼","7.85","4.90","1.52",
"2032","新鋼","17.69","14.02","1.72",
"2033","佳大","-","9.57","0.89",
"2034","允強","8.18","12.37","1.88",
"2101","南港","8.59","11.75","2.42",
"2102","泰豐","10.83","4.64","0.99",
"2103","台橡","11.42","5.34","3.05",
"2104","國際中橡","17.33","2.76","1.36",
"2105","正新","17.38","2.43","3.20",
"2106","建大","20.65","2.28","1.95",
"2107","厚生","24.69","1.75","1.39",
"2108","南帝","12.29","4.41","1.95",
"2109","華豐","52.50","0.00","0.75",
"2201","裕隆","19.84","2.74","0.95",
"2204","中華","18.62","3.53","0.88",
"2206","三陽工業","26.48","4.15","1.50",
"2207","和泰車","13.50","5.00","2.46",
"2227","裕日車","12.07","5.71","1.18",
"2301","光寶科","14.07","5.88","2.11",
"2302","麗正","-","0.00","0.45",
"2303","聯電","12.20","3.56","1.05",
"2305","全友","4.67","0.00","0.76",
"2308","台達電","19.02","3.67","4.64",
"2311","日月光","17.72","8.11","2.80",
"2312","金寶","28.41","5.60","0.77",
"2313","華通","17.09","2.96","1.05",
"2314","台揚","28.02","2.30","2.34",
